Region,Offshore,Onshore,Total
"Asia Subtotal",550,2990,3540
"Northern America",256,2676,2932
"Americas Subtotal",526,971,1497
"Europe Subtotal",640,572,1212
"Latin America and the Caribbean",290,838,1128
"Northern Europe",458,30,488
"Eastern Europe",49,327,376
"Sub-Saharan Africa",236,133,369
"Oceania Subtotal",185,144,329
"Western Asia",113,198,311
"Western Europe",117,93,210
"South-eastern Asia",171,38,209
"Northern Africa",59,128,187
"Africa Subtotal",59,128,187
"Southern Asia",52,118,170
"Eastern Asia",56,99,155
"Australia and New Zealand",68,51,119
"Central Asia",15,59,74
"Southern Europe",20,17,37
Melanesia,0,3,3
