Country/Area;discovered;in development;pre-production (discovered + in development);operating;shut in;other;Total
Algeria;2;1;3;40;0;1;44
Angola;2;1;3;30;0;0;33
Angola-Republic of the Congo;0;0;0;1;0;0;1
Argentina;0;0;0;204;0;0;204
Australia;32;3;35;109;5;48;197
Austria;2;0;2;2;0;0;4
Azerbaijan;5;0;5;11;0;1;17
Bahrain;2;0;2;2;0;0;4
Bangladesh;1;0;1;6;0;0;7
Bolivia;3;0;3;10;0;2;15
Brazil;8;5;13;93;4;1;111
Brunei;5;0;5;8;0;0;13
Cameroon;1;0;1;2;0;0;3
Canada;13;0;13;627;7;61;708
Chad;0;0;0;7;0;0;7
Chile;0;0;0;1;0;0;1
China;2;8;10;76;0;1;87
China-Japan;0;0;0;1;0;0;1
Colombia;2;0;2;190;0;1;193
Cuba;0;0;0;1;0;0;1
Cyprus;5;0;5;0;0;0;5
Côte d'Ivoire;1;0;1;4;1;0;6
Denmark;6;0;6;11;4;3;24
Ecuador;0;0;0;86;5;0;91
Egypt;2;2;4;74;1;10;89
Ethiopia;2;0;2;0;3;0;5
France;0;0;0;0;0;2;2
Gabon;0;0;0;2;0;0;2
Germany;0;0;0;50;0;2;52
Ghana;2;1;3;1;0;0;4
Grenada;1;0;1;0;0;0;1
Guyana;14;5;19;4;0;0;23
Hungary;0;0;0;2;0;0;2
India;5;3;8;57;2;1;68
Indonesia;28;6;34;40;0;3;77
Iran;5;3;8;37;1;2;48
Iraq;1;5;6;18;2;0;26
Ireland;13;0;13;1;0;0;14
Israel;5;4;9;4;1;1;15
Italy;0;0;0;35;0;3;38
Japan;0;0;0;1;0;0;1
Kazakhstan;3;6;9;31;0;6;46
Kenya;0;1;1;0;0;0;1
Kuwait;3;0;3;7;0;1;11
Kuwait-Saudi Arabia;0;0;0;4;0;0;4
Kuwait-Saudi Arabia-Iran;0;1;1;1;0;0;2
Libya;1;1;2;18;1;1;22
Malaysia;12;7;19;46;0;3;68
Mauritania;2;0;2;1;0;1;4
Mexico;6;7;13;179;8;11;211
Morocco;1;0;1;0;0;0;1
Mozambique;3;6;9;8;0;0;17
Myanmar;1;1;2;3;0;1;6
Namibia;4;0;4;0;0;0;4
Netherlands;17;1;18;119;4;21;162
New Zealand;0;0;0;7;0;0;7
Nigeria;5;12;17;177;23;0;217
Norway;29;16;45;87;5;0;137
Oman;0;1;1;23;0;0;24
Pakistan;2;0;2;33;1;1;37
Palestine;0;0;0;0;0;1;1
Papua New Guinea;4;0;4;0;0;0;4
Peru;0;2;2;14;2;0;18
Philippines;1;0;1;1;0;0;2
Poland;11;1;12;94;0;3;109
Qatar;0;2;2;23;0;0;25
Republic of the Congo;0;2;2;11;0;0;13
Romania;1;4;5;20;0;35;60
Russia;52;11;63;144;0;15;222
Russia-Kazakhstan;2;0;2;0;0;0;2
Saudi Arabia;0;2;2;14;0;0;16
Senegal;1;0;1;2;0;0;3
Senegal-Mauritania;0;0;0;1;0;0;1
South Africa;3;2;5;0;0;0;5
Spain;0;0;0;0;0;1;1
Suriname;1;4;5;1;0;0;6
Syria;2;0;2;0;0;0;2
Tanzania;18;0;18;4;0;0;22
Thailand;1;0;1;33;3;1;38
Thailand-Malaysia;0;0;0;2;0;0;2
Timor Gap;1;0;1;0;0;0;1
Timor-Leste;0;0;0;1;0;0;1
Trinidad and Tobago;3;2;5;25;0;5;35
Tunisia;0;0;0;5;0;0;5
Turkmenistan;1;0;1;11;0;19;31
Türkiye;3;0;3;2;0;0;5
Ukraine;0;0;0;16;0;0;16
United Arab Emirates;2;4;6;20;1;0;27
United Kingdom;20;6;26;218;73;1;318
United States;20;8;28;1621;60;0;1709
Uzbekistan;1;1;2;2;0;0;4
Venezuela;4;0;4;63;1;2;70
Venezuela-Trinidad and Tobago;1;1;2;1;0;0;3
Vietnam;6;7;13;9;0;0;22
Vietnam-Malaysia;0;0;0;1;0;0;1
Zimbabwe;1;0;1;0;0;0;1
